Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
nuke_comp_template_test_mov_mov,66d6f4bc7e6b4b9c2f4bcdb4,rameshnaidu.appikonda,None,,pnewspt089.basilic.com,2024/09/03 17:06:28,2024/09/03 17:14:16,2024/09/03 17:16:24,2d_pool,2d_group,50,1024-1138,115,1,Nuke,1,8495,0,0,1,00:00:02:07,00:00:02:07,00:00:02:07,00:00:02:07,00:00:00:02,00:00:00:02,00:00:00:02,00:00:02:04,00:00:02:04,00:00:02:04,00:00:02:04,00:00:02:04,00:00:02:04,00:00:00:01,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:02,00:00:00:01,00:00:00:02,00:00:00:02,00:00:00:00,00:00:00:00,0,0,0,1235845120,952615040,952615040,15 %,2 %,2 %,775147,38757312,0,0,0,
nuke_comp_template_test_mov_mov,66d6f9737e6b4b9c2f4bcdf0,rameshnaidu.appikonda,None,,pnewspt089.basilic.com,2024/09/03 17:26:35,2024/09/03 17:34:27,2024/09/03 17:35:50,2d_pool,2d_group,50,1024-1138,115,1,Nuke,1,8495,0,0,1,00:00:01:22,00:00:01:22,00:00:01:22,00:00:01:22,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:19,00:00:01:19,00:00:01:19,00:00:01:19,00:00:01:19,00:00:01:19,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1232789504,846864768,846864768,12 %,3 %,3 %,715604,23853456,0,0,0,
nuke_comp_template_test_mov_mov,66d7231c7e6b4b9c2f4bcfd7,rameshnaidu.appikonda,None,,pnewspt089.basilic.com,2024/09/03 20:24:20,2024/09/03 20:31:39,2024/09/03 20:32:55,2d_pool,2d_group,50,1024-1138,115,1,Nuke,1,8495,0,0,1,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1234817024,961668032,961668032,12 %,4 %,4 %,887915,22197858,0,0,0,
nuke_comp_template_test_mov_mov,66d728f67e6b4b9c2f4bd014,rameshnaidu.appikonda,None,,pnewspt089.basilic.com,2024/09/03 20:49:17,2024/09/03 20:56:03,2024/09/03 20:57:22,2d_pool,2d_group,50,1024-1138,115,1,Nuke,1,8495,0,0,1,00:00:01:19,00:00:01:19,00:00:01:19,00:00:01:19,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:01:16,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1246519296,860165376,860165376,9 %,3 %,3 %,715490,23849654,0,0,0,
nuke_comp_template_test_mov_mov,66d667bf7e6b4b9c2f4bc3e9,mahendra.bobade,None,,pnewspt080.basilic.com,2024/09/03 7:04:55,2024/09/03 7:06:16,2024/09/03 7:07:18,2d_pool,2d_group,50,1001-1137,137,1,Nuke,1,8723,0,0,1,00:00:01:01,00:00:01:01,00:00:01:01,00:00:01:01,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:58,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1026076672,776932672,776932672,10 %,4 %,4 %,688496,17212378,0,0,0,
nuke_comp_template_test_mov_mov,66d669127e6b4b9c2f4bc42a,mahesh.mhetrajkar,None,,pnewspt084.basilic.com,2024/09/03 7:10:34,2024/09/03 7:11:36,2024/09/03 7:11:59,2d_pool,2d_group,50,1017-1047,31,1,Nuke,1,8771,0,0,1,00:00:00:22,00:00:00:22,00:00:00:22,00:00:00:22,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:19,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1085263872,680118848,680118848,9 %,2 %,2 %,110944,5547168,0,0,0,
nuke_comp_template_test_mov_mov,66d670917e6b4b9c2f4bc4ca,yashwant.shinde,None,,pnewspt090.basilic.com,2024/09/03 7:42:33,2024/09/03 7:42:33,2024/09/03 7:43:16,2d_pool,2d_group,50,1001-1066,66,1,Nuke,1,8784,0,0,1,00:00:00:42,00:00:00:42,00:00:00:42,00:00:00:42,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:39,00:00:00:39,00:00:00:39,00:00:00:39,00:00:00:39,00:00:00:39,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1103245312,597671104,597671104,11 %,2 %,2 %,243835,12191732,0,0,0,
nuke_comp_template_test_mov_mov,66d677457e6b4b9c2f4bc50e,suraj.umbarkar,None,,pnewspt105.basilic.com,2024/09/03 8:11:09,2024/09/03 8:12:02,2024/09/03 8:12:24,2d_pool,2d_group,50,1017-1043,27,1,Nuke,1,8906,0,0,1,00:00:00:21,00:00:00:21,00:00:00:21,00:00:00:21,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1085075456,445854432,445854432,5 %,2 %,2 %,111007,5550336,0,0,0,
nuke_comp_template_test_mov_mov,66d681287e6b4b9c2f4bc577,gaurav.dhoke,None,,pnewspt099.basilic.com,2024/09/03 8:53:20,2024/09/03 8:53:21,2024/09/03 8:53:42,2d_pool,2d_group,50,1017-1043,27,1,Nuke,1,8741,0,0,1,00:00:00:21,00:00:00:21,00:00:00:21,00:00:00:21,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:18,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1081651200,444320672,444320672,5 %,1 %,1 %,47423,4742287,0,0,0,
nuke_comp_template_test_mov_mov,66d698037e6b4b9c2f4bc667,rameshnaidu.appikonda,None,,pnewspt089.basilic.com,2024/09/03 10:30:51,2024/09/03 10:36:15,2024/09/03 10:37:36,2d_pool,2d_group,50,1024-1138,115,1,Nuke,1,8495,0,0,1,00:00:01:21,00:00:01:21,00:00:01:21,00:00:01:21,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1233969152,852075584,852075584,8 %,3 %,3 %,713998,23799916,0,0,0,
