Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name,cores used
dpc000_1100_both_hand_marker_prep_v025.nk,661f32972f618a1633cf57d6,akshayd,,,pnewspt081,2024/04/17 7:53:19,2024/04/17 7:53:20,2024/04/17 7:55:17,2d_pool,2d_grp,100,1238-1371,134,134,Nuke,0,0,0,0,17,00:00:01:57,00:00:31:54,00:00:00:14,00:00:00:11,00:00:03:22,00:00:00:01,00:00:00:00,00:00:27:30,00:00:00:12,00:00:00:10,00:00:27:30,00:00:00:12,00:00:00:10,00:00:00:14,00:00:00:01,00:00:00:12,00:00:00:12,00:00:00:12,00:00:00:00,00:00:00:11,00:00:00:11,00:00:00:00,00:00:00:00,3232944721,24126453,24144046,14738628608,10286975804,11588236288,80 %,1 %,1 %,5042530,302390691,0,0,0,,70
dpc000_1100_both_hand_marker_prep_v026.nk,661f57992f618a1633cf5c15,akshayd,,,pnewspt081,2024/04/17 10:31:13,2024/04/17 10:31:14,2024/04/17 10:33:23,2d_pool,2d_grp,100,1238-1371,134,134,Nuke,0,0,0,0,17,00:00:02:09,00:00:34:28,00:00:00:15,00:00:00:12,00:00:03:18,00:00:00:01,00:00:00:00,00:00:30:07,00:00:00:13,00:00:00:11,00:00:30:07,00:00:00:13,00:00:00:11,00:00:00:15,00:00:00:01,00:00:00:13,00:00:00:13,00:00:00:13,00:00:00:00,00:00:00:12,00:00:00:12,00:00:00:00,00:00:00:00,3242949925,24201118,24199822,14826356736,10103564245,11429809152,95 %,2 %,1 %,6282887,324823045,0,0,0,,84
dpc000_1100_both_hand_marker_prep_v028.nk,661f743d2f618a1633cf5eb4,akshayd,,,pnewspt081,2024/04/17 12:33:24,2024/04/17 12:33:25,2024/04/17 12:35:34,2d_pool,2d_grp,100,1238-1371,134,134,Nuke,0,0,0,0,17,00:00:02:08,00:00:35:26,00:00:00:15,00:00:00:12,00:00:03:32,00:00:00:01,00:00:00:00,00:00:30:50,00:00:00:13,00:00:00:11,00:00:30:50,00:00:00:13,00:00:00:11,00:00:00:15,00:00:00:01,00:00:00:13,00:00:00:13,00:00:00:13,00:00:00:00,00:00:00:12,00:00:00:12,00:00:00:00,00:00:00:00,3242952743,24201139,24199822,15691685888,10311530560,11556567040,90 %,1 %,1 %,6764467,326101334,0,0,0,,79
dpc000_1100_car_repair_v025,661f359d2f618a1633cf581b,naveenkumar,,,pnewspt096,2024/04/17 8:06:13,2024/04/17 8:06:13,2024/04/17 8:09:10,2d_pool,2d_grp,100,1350-1852,503,101,Nuke,0,0,0,0,18,00:00:02:57,00:00:52:11,00:00:00:31,00:00:00:28,00:00:00:59,00:00:00:00,00:00:00:00,00:00:50:25,00:00:00:29,00:00:00:26,00:00:50:25,00:00:00:29,00:00:00:26,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,2619133952,885480648,914352832,75 %,1 %,1 %,10404039,595403314,0,0,0,,66
dpc000_1100_ch_15_katana_wire removel_v018.nk,661f6f212f618a1633cf5df4,surajumbarkar,,,pnewspt105,2024/04/17 12:11:37,2024/04/17 12:12:09,2024/04/17 12:15:17,2d_pool,2d_grp,100,1669-2615,947,48,Nuke,1,14959772,0,0,7,00:00:03:07,00:00:21:04,00:00:00:26,00:00:00:19,00:00:01:25,00:00:00:01,00:00:00:00,00:00:19:17,00:00:00:24,00:00:00:18,00:00:19:17,00:00:00:24,00:00:00:18,00:00:00:01,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,2062401536,1569404425,1732296320,2 %,1 %,1 %,2369212,232310708,0,0,0,,2
dpc000_1100_ch_15_katana_wire removel_v018.nk,661f73f02f618a1633cf5e99,surajumbarkar,,,pnewspt105,2024/04/17 12:32:08,2024/04/17 12:32:31,2024/04/17 12:33:36,2d_pool,2d_grp,100,"1729-1748,1889-1908,1709-1728",60,30,Nuke,1,14998856,0,0,15,00:00:01:04,00:00:15:20,00:00:00:30,00:00:00:35,00:00:01:10,00:00:00:02,00:00:00:02,00:00:14:04,00:00:00:28,00:00:00:32,00:00:14:04,00:00:00:28,00:00:00:32,00:00:00:15,00:00:00:01,00:00:00:14,00:00:00:14,00:00:00:18,00:00:00:02,00:00:00:17,00:00:00:17,00:00:00:00,00:00:00:00,1427622496,47587416,47669843,14122323968,4671071379,1977744768,73 %,3 %,2 %,3419655,168474853,0,0,0,,64
dpc000_1100_ch_15_katana_wire removel_v018.nk,661f74e82f618a1633cf5ecf,surajumbarkar,,,pnewspt105,2024/04/17 12:36:16,2024/04/17 12:36:17,2024/04/17 12:40:15,2d_pool,2d_grp,100,2000-2615,616,124,Nuke,1,14998855,0,0,17,00:00:03:58,00:01:07:13,00:00:00:32,00:00:00:27,00:00:01:06,00:00:00:00,00:00:00:00,00:01:05:10,00:00:00:31,00:00:00:26,00:01:05:10,00:00:00:31,00:00:00:26,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,15083460332,121640809,124147024,4391346176,2108801298,2184224512,78 %,1 %,1 %,9739207,757616321,0,0,0,,69
dpc000_1100_ch_15_katana_wire removel_v018.nk,661f7b682f618a1633cf5f58,surajumbarkar,,,pnewspt105,2024/04/17 13:04:00,2024/04/17 13:05:57,2024/04/17 13:08:09,2d_pool,2d_grp,100,1730-1734,5,5,Nuke,1,13020467,0,0,5,00:00:02:12,00:00:09:05,00:00:01:49,00:00:01:54,00:00:00:39,00:00:00:07,00:00:00:07,00:00:08:26,00:00:01:41,00:00:01:46,00:00:08:26,00:00:01:41,00:00:01:46,00:00:01:49,00:00:00:07,00:00:01:41,00:00:01:41,00:00:01:55,00:00:00:08,00:00:01:47,00:00:01:47,00:00:00:00,00:00:00:00,119287591,23857518,23861487,5686882304,1143974387,1081489664,31 %,1 %,1 %,986119,87334581,0,0,0,,27
dpc000_1100_ch_15_katana_wire removel_v019.nk,661f8c6a2f618a1633cf6086,surajumbarkar,,,pnewspt105,2024/04/17 14:16:34,2024/04/17 14:16:35,2024/04/17 14:19:50,2d_pool,2d_grp,100,2100-2615,516,104,Nuke,1,13006164,0,0,18,00:00:03:14,00:00:56:25,00:00:00:32,00:00:00:27,00:00:01:05,00:00:00:00,00:00:00:00,00:00:54:33,00:00:00:31,00:00:00:26,00:00:54:33,00:00:00:31,00:00:00:26,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,12601367500,121166995,124257331,2223751168,1926729286,2123665792,59 %,1 %,1 %,8121476,656232198,0,0,0,,52
dpc000_1100_ch_15_katana_wire removel_v019.nk,661f8e2e2f618a1633cf60a8,surajumbarkar,,,pnewspt105,2024/04/17 14:24:06,2024/04/17 14:24:07,2024/04/17 14:27:30,2d_pool,2d_grp,100,2000-2615,616,124,Nuke,1,13006242,0,0,17,00:00:03:22,00:00:57:04,00:00:00:27,00:00:00:19,00:00:01:06,00:00:00:00,00:00:00:00,00:00:55:01,00:00:00:26,00:00:00:18,00:00:55:01,00:00:00:26,00:00:00:18,00:00:00:05,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,14789523663,119270352,120820468,4363558912,2104658902,2158273280,20 %,1 %,1 %,8219951,614502759,0,0,0,,18
