Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
nuke_comp_template_test_mov_mov,66d29aab7e6b4b9c2f4b9779,yogesh.kate,None,,pnewspt079.basilic.com,2024/08/31 9:53:07,2024/08/31 9:57:32,2024/08/31 9:58:45,2d_pool,2d_group,50,1001-1140,140,1,Nuke,1,8519,0,0,1,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,929816576,649138176,649138176,7 %,2 %,2 %,410827,20541314,0,0,0,
nuke_comp_template_test_mov_mov,66d2a89f7e6b4b9c2f4b9864,yogesh.kate,None,,pnewspt079.basilic.com,2024/08/31 10:52:39,2024/08/31 10:57:59,2024/08/31 10:59:10,2d_pool,2d_group,50,1001-1140,140,1,Nuke,1,8504,0,0,1,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:07,00:00:01:07,00:00:01:07,00:00:01:07,00:00:01:07,00:00:01:07,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,924147712,661954560,661954560,10 %,3 %,3 %,616810,20560320,0,0,0,
nuke_comp_template_test_mov_mov,66d2ada57e6b4b9c2f4b98a3,suraj.umbarkar,None,,pnewspt105.basilic.com,2024/08/31 11:14:05,2024/08/31 11:14:57,2024/08/31 11:15:49,2d_pool,2d_group,50,1001-1102,102,1,Nuke,1,8831,0,0,1,00:00:00:51,00:00:00:51,00:00:00:51,00:00:00:51,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:48,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,923373568,589852416,589852416,9 %,3 %,3 %,355640,11854634,0,0,0,
nuke_comp_template_test_mov_mov,66d2ae1b7e6b4b9c2f4b98b7,yogesh.kate,None,,pnewspt079.basilic.com,2024/08/31 11:16:03,2024/08/31 11:21:19,2024/08/31 11:22:32,2d_pool,2d_group,50,1001-1140,140,1,Nuke,1,8538,0,0,1,00:00:01:13,00:00:01:13,00:00:01:13,00:00:01:13,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:01:10,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,921735168,627906944,627906944,7 %,2 %,2 %,410668,20533392,0,0,0,
nuke_comp_template_test_mov_mov,66d2c0577e6b4b9c2f4b9a64,akshay.basarge,None,,pnewspt098.basilic.com,2024/08/31 12:33:50,2024/08/31 12:36:39,2024/08/31 12:37:57,2d_pool,2d_group,50,1001-1102,102,1,Nuke,1,8384,0,0,1,00:00:01:17,00:00:01:17,00:00:01:17,00:00:01:17,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:14,00:00:01:14,00:00:01:14,00:00:01:14,00:00:01:14,00:00:01:14,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,918216704,741095104,741095104,15 %,3 %,3 %,664881,22162694,0,0,0,
nuke_comp_template_test_mov_mov,66d2d8517e6b4b9c2f4b9b4e,akshay.deshmukh,None,,pnewspt081.basilic.com,2024/08/31 14:16:08,2024/08/31 14:17:23,2024/08/31 14:19:41,2d_pool,2d_group,50,1001-1214,214,1,Nuke,1,8645,0,0,1,00:00:02:17,00:00:02:17,00:00:02:17,00:00:02:17,00:00:00:02,00:00:00:02,00:00:00:02,00:00:02:14,00:00:02:14,00:00:02:14,00:00:02:14,00:00:02:14,00:00:02:14,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1080352768,855730368,855730368,12 %,4 %,4 %,1441105,36027620,0,0,0,
nuke_comp_template_test_mov_mov,66d2d94a7e6b4b9c2f4b9b68,akshay.basarge,None,,pnewspt098.basilic.com,2024/08/31 14:20:18,2024/08/31 14:22:42,2024/08/31 14:23:33,2d_pool,2d_group,50,1001-1102,102,1,Nuke,1,8384,0,0,1,00:00:00:50,00:00:00:50,00:00:00:50,00:00:00:50,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:47,00:00:00:47,00:00:00:47,00:00:00:47,00:00:00:47,00:00:00:47,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,921767936,597863424,597863424,9 %,3 %,3 %,414955,13831805,0,0,0,
nuke_comp_template_test_mov_mov,66d2e0067e6b4b9c2f4b9c16,akshay.basarge,None,,pnewspt098.basilic.com,2024/08/31 14:49:02,2024/08/31 14:51:21,2024/08/31 14:52:11,2d_pool,2d_group,50,1001-1102,102,1,Nuke,1,8384,0,0,1,00:00:00:49,00:00:00:49,00:00:00:49,00:00:00:49,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:46,00:00:00:46,00:00:00:46,00:00:00:46,00:00:00:46,00:00:00:46,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,917286912,717984768,717984768,16 %,5 %,5 %,695107,13902134,0,0,0,
nuke_comp_template_test_mov_mov,66d2e4b87e6b4b9c2f4b9c7c,suraj.umbarkar,None,,pnewspt105.basilic.com,2024/08/31 15:09:04,2024/08/31 15:19:15,2024/08/31 15:20:23,2d_pool,2d_group,50,1001-1102,102,1,Nuke,1,8868,0,0,1,00:00:01:07,00:00:01:07,00:00:01:07,00:00:01:07,00:00:00:07,00:00:00:07,00:00:00:07,00:00:01:00,00:00:01:00,00:00:01:00,00:00:01:00,00:00:01:00,00:00:01:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,923848704,738285568,738285568,8 %,2 %,2 %,344565,17228218,0,0,0,
nuke_comp_template_test_mov_mov,66d2e58e7e6b4b9c2f4b9c8b,yogesh.kate,None,,pnewspt079.basilic.com,2024/08/31 15:12:38,2024/08/31 15:24:12,2024/08/31 15:25:22,2d_pool,2d_group,50,1001-1140,140,1,Nuke,1,8573,0,0,1,00:00:01:09,00:00:01:09,00:00:01:09,00:00:01:09,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:06,00:00:01:06,00:00:01:06,00:00:01:06,00:00:01:06,00:00:01:06,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,923074560,762470784,762470784,12 %,4 %,4 %,820905,20522620,0,0,0,
