Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes),Batch Name
301_13_taf_0480_prep_removebgcharacter_v007.nk,66dedf167e6b4b9c2f4c3abd,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/09 17:12:14,2024/09/09 17:12:15,2024/09/09 17:13:24,2d_pool,2d_group,50,1025-1051,27,3,Nuke,1,3103483,0,0,3,00:00:01:08,00:00:02:45,00:00:00:55,00:00:01:03,00:00:00:08,00:00:00:02,00:00:00:02,00:00:02:36,00:00:00:52,00:00:01:00,00:00:02:36,00:00:00:52,00:00:01:00,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:07,00:00:00:01,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,1932972032,572381408,486970432,63 %,4 %,3 %,1649246,46468858,0,0,0,
301_13_taf_0480_prep_removebgcharacter_v007.nk,66dedfd77e6b4b9c2f4c3ad2,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/09 17:15:27,2024/09/09 17:15:28,2024/09/09 17:17:15,2d_pool,2d_group,50,1025-1051,27,3,Nuke,1,3103845,0,0,3,00:00:01:47,00:00:05:10,00:00:01:43,00:00:01:44,00:00:00:08,00:00:00:02,00:00:00:02,00:00:05:01,00:00:01:40,00:00:01:41,00:00:05:01,00:00:01:40,00:00:01:41,00:00:00:11,00:00:00:00,00:00:00:11,00:00:00:11,00:00:00:11,00:00:00:01,00:00:00:11,00:00:00:11,00:00:00:00,00:00:00:00,0,0,0,5015560192,2427155285,2443962112,99 %,14 %,14 %,12637628,90306372,0,0,0,
301_13_taf_0480_prep_removebgcharacter_v008.nk,66df284f7e6b4b9c2f4c3eef,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/09 22:24:39,2024/09/09 22:24:39,2024/09/09 22:25:48,2d_pool,2d_group,50,1025-1051,27,3,Nuke,1,5439126,0,0,3,00:00:01:08,00:00:03:19,00:00:01:06,00:00:01:07,00:00:00:09,00:00:00:03,00:00:00:03,00:00:03:10,00:00:01:03,00:00:01:04,00:00:03:10,00:00:01:03,00:00:01:04,00:00:00:07,00:00:00:00,00:00:00:07,00:00:00:07,00:00:00:07,00:00:00:01,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,5152169984,806289322,865064000,63 %,2 %,2 %,1229754,52467998,0,0,0,
301_13_taf_0480_prep_removebgcharacter_v008.nk,66df25c57e6b4b9c2f4c3ed9,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/09 22:13:48,2024/09/09 22:13:49,2024/09/09 22:43:00,2d_pool,2d_group,50,1025-1051,27,3,Nuke,1,5368308,0,0,2,00:00:29:11,00:00:50:17,00:00:16:45,00:00:11:02,00:00:00:08,00:00:00:02,00:00:00:02,00:00:50:08,00:00:16:42,00:00:10:59,00:00:50:08,00:00:16:42,00:00:10:59,00:00:01:51,00:00:00:00,00:00:01:51,00:00:01:51,00:00:01:27,00:00:00:01,00:00:01:26,00:00:01:26,00:00:00:00,00:00:00:00,0,0,0,13220331520,4882544896,4484034048,99 %,2 %,2 %,17633856,950141520,0,0,0,
301_13_taf_0480_prep_removebgcharacter_v008.nk,66df2a197e6b4b9c2f4c3f02,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/09 22:32:17,2024/09/09 22:32:18,2024/09/09 22:50:02,2d_pool,2d_group,50,1025-1051,27,3,Nuke,1,5439139,0,0,3,00:00:17:43,00:00:41:03,00:00:13:41,00:00:12:42,00:00:00:09,00:00:00:03,00:00:00:03,00:00:40:54,00:00:13:38,00:00:12:39,00:00:40:54,00:00:13:38,00:00:12:39,00:00:01:31,00:00:00:00,00:00:01:30,00:00:01:30,00:00:01:47,00:00:00:01,00:00:01:47,00:00:01:47,00:00:00:00,00:00:00:00,0,0,0,12617129984,5492739584,4926026240,99 %,2 %,3 %,18524222,774477152,0,0,0,
com_0020_prep_bluewallwrinkelsremove_v001.nk,66de5adf7e6b4b9c2f4c2733,akshay.deshmukh,,,pnewsrt103.basilic.com,2024/09/09 7:48:07,2024/09/09 7:48:08,2024/09/09 7:49:43,2d_pool,2d_group,50,1001-1315,315,32,Nuke,1,29588424,0,0,16,00:00:01:34,00:00:23:38,00:00:00:44,00:00:01:04,00:00:01:15,00:00:00:02,00:00:00:03,00:00:22:16,00:00:00:41,00:00:01:00,00:00:22:16,00:00:00:41,00:00:01:00,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:07,00:00:00:01,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,4138909696,1940246975,656713408,79 %,3 %,2 %,7405644,354611858,0,0,0,
com_0020_prep_bluewallwrinkelsremove_v002.nk,66de75b37e6b4b9c2f4c28f2,akshay.deshmukh,,,pnewsrt103.basilic.com,2024/09/09 9:42:35,2024/09/09 9:42:36,2024/09/09 9:43:58,2d_pool,2d_group,50,1001-1315,315,32,Nuke,1,29863126,0,0,16,00:00:01:22,00:00:21:48,00:00:00:40,00:00:00:45,00:00:01:06,00:00:00:02,00:00:00:03,00:00:20:34,00:00:00:38,00:00:00:41,00:00:20:34,00:00:00:38,00:00:00:41,00:00:00:04,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:05,00:00:00:01,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,0,0,0,2784092160,1197221032,613160960,38 %,2 %,2 %,5100330,337212498,0,0,0,
com_0020_prep_bluewallwrinkelsremove_v005.nk,66de92e07e6b4b9c2f4c2f7b,akshay.deshmukh,,,pnewsrt103.basilic.com,2024/09/09 11:47:04,2024/09/09 11:47:05,2024/09/09 11:48:18,2d_pool,2d_group,50,1001-1315,315,32,Nuke,1,30333515,0,0,9,00:00:01:12,00:00:10:21,00:00:00:19,00:00:00:26,00:00:00:56,00:00:00:01,00:00:00:03,00:00:09:16,00:00:00:17,00:00:00:22,00:00:09:16,00:00:00:17,00:00:00:22,00:00:00:01,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:03,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,3510009856,1478294602,1880111360,100 %,8 %,7 %,8385298,132639317,0,0,0,
com_0020_prep_bluewallwrinkelsremove_v005.nk,66de96207e6b4b9c2f4c305a,akshay.deshmukh,,,pnewsrt103.basilic.com,2024/09/09 12:00:56,2024/09/09 12:00:57,2024/09/09 12:02:03,2d_pool,2d_group,50,1001-1315,315,32,Nuke,1,30423014,0,0,12,00:00:01:06,00:00:12:48,00:00:00:24,00:00:00:30,00:00:01:09,00:00:00:02,00:00:00:03,00:00:11:31,00:00:00:21,00:00:00:26,00:00:11:31,00:00:00:21,00:00:00:26,00:00:00:02,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:04,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,5455360000,2264680818,986511680,100 %,9 %,11 %,12668616,167846539,0,0,0,
com_0020_prep_bluewallwrinkelsremove_v007.nk,66de9fdd7e6b4b9c2f4c328b,akshay.deshmukh,,,pnewsrt103.basilic.com,2024/09/09 12:42:29,2024/09/09 12:42:31,2024/09/09 12:43:51,2d_pool,2d_group,50,1001-1315,315,32,Nuke,1,30466683,0,0,12,00:00:01:20,00:00:15:43,00:00:00:29,00:00:00:32,00:00:01:18,00:00:00:02,00:00:00:03,00:00:14:18,00:00:00:26,00:00:00:28,00:00:14:18,00:00:00:26,00:00:00:28,00:00:00:02,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:04,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,7336493056,2638337723,1714201984,99 %,8 %,9 %,18965700,228949071,0,0,0,
