Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes)
ps090_0150_prep_rigandtrackingmarkers_v016.nk,66e12e227e6b4b9c2f4c5633,swapnil.gurav,,,pnewstr063,2024/09/11 11:14:02,2024/09/11 11:14:02,2024/09/11 11:20:45,2d_pool,2d_group,50,986-1068,83,83,Nuke,0,0,0,11,6,00:00:06:42,00:00:38:16,00:00:00:27,00:00:00:27,00:00:00:52,00:00:00:00,00:00:00:00,00:00:36:49,00:00:00:26,00:00:00:26,00:00:36:49,00:00:00:26,00:00:00:26,00:00:00:27,00:00:00:00,00:00:00:26,00:00:00:26,00:00:00:28,00:00:00:00,00:00:00:27,00:00:00:27,00:00:05:15,00:00:27:18,1641602476,19778343,19786881,9830973440,1358700032,1424166912,68 %,3 %,4 %,22217145,589258959,0,0,0
ps090_0150_prep_rigandtrackingmarkers_v019.nk,66e1570c7e6b4b9c2f4c57e7,swapnil.gurav,,,pnewstr063,2024/09/11 14:08:36,2024/09/11 14:08:36,2024/09/11 14:09:46,2d_pool,2d_group,50,986-1068,83,17,Nuke,0,0,0,0,12,00:00:01:09,00:00:13:39,00:00:00:48,00:00:00:47,00:00:00:47,00:00:00:02,00:00:00:02,00:00:12:51,00:00:00:45,00:00:00:44,00:00:12:51,00:00:00:45,00:00:00:44,00:00:00:09,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:10,00:00:00:01,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,834013054,49059591,49725089,2913808384,363672015,380128448,18 %,1 %,1 %,2240875,211937386,0,0,0
ps090_0230_paint_v019.nk,66e194907e6b4b9c2f4c5ba5,kailash.saw,,,pnewspt085,2024/09/11 18:31:04,2024/09/11 18:36:16,2024/09/11 18:37:36,2d_pool,2d_group,50,986-1088,103,103,Nuke,1,5444283,0,0,10,00:00:01:19,00:00:13:08,00:00:00:07,00:00:00:05,00:00:01:25,00:00:00:00,00:00:00:00,00:00:10:56,00:00:00:06,00:00:00:04,00:00:10:56,00:00:00:06,00:00:00:04,00:00:00:07,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,1114678678,10822123,11189357,4883939328,3291783948,3610619904,99 %,23 %,26 %,26660666,133877126,0,0,0
ps090_0230_paint_v020.nk,66e1ce917e6b4b9c2f4c5ec1,kailash.saw,,,pnewspt085,2024/09/11 22:38:32,2024/09/11 22:38:33,2024/09/11 22:39:32,2d_pool,2d_group,50,986-1088,103,103,Nuke,1,6031159,0,0,14,00:00:00:58,00:00:13:12,00:00:00:07,00:00:00:05,00:00:00:56,00:00:00:00,00:00:00:00,00:00:11:30,00:00:00:06,00:00:00:04,00:00:11:30,00:00:00:06,00:00:00:04,00:00:00:07,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,1114695692,10822288,11190163,4813565952,3266066158,3723344128,100 %,22 %,27 %,24144343,141337561,0,0,0
ps090_0230_paint_v020.nk,66e1d29c7e6b4b9c2f4c5eff,kailash.saw,,,pnewspt085,2024/09/11 22:55:48,2024/09/11 22:55:49,2024/09/11 22:56:55,2d_pool,2d_group,50,986-1088,103,103,Nuke,1,6197493,0,0,13,00:00:01:06,00:00:14:01,00:00:00:08,00:00:00:05,00:00:01:21,00:00:00:00,00:00:00:00,00:00:11:54,00:00:00:06,00:00:00:04,00:00:11:54,00:00:00:06,00:00:00:04,00:00:00:08,00:00:00:00,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,1114695769,10822289,11190163,4773998592,3256549012,3713495040,100 %,23 %,28 %,25338233,141091746,0,0,0
ps090_0230_paint_v020.nk,66e1dd8f7e6b4b9c2f4c6023,kailash.saw,,,pnewspt085,2024/09/11 23:42:31,2024/09/11 23:44:32,2024/09/11 23:45:55,2d_pool,2d_group,50,986-1088,103,103,Nuke,1,6371065,0,0,11,00:00:01:23,00:00:13:58,00:00:00:08,00:00:00:05,00:00:02:04,00:00:00:01,00:00:00:00,00:00:11:07,00:00:00:06,00:00:00:04,00:00:11:07,00:00:00:06,00:00:00:04,00:00:00:08,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,981098145,9525224,9856456,5554429952,3474118273,3749446912,99 %,22 %,25 %,25171465,142147571,0,0,0
ps090_0310_prep_remoedmarkersSL_v010.nk,66e191827e6b4b9c2f4c5b62,dnyaneshwar.shelke,,,pnewspt098.basilic.com,2024/09/11 18:18:02,2024/09/11 18:18:03,2024/09/11 18:38:53,2d_pool,2d_group,100,986-1099,114,114,Nuke,1,1003184,0,0,10,00:00:20:50,00:03:26:40,00:00:01:48,00:00:00:08,00:00:03:56,00:00:00:02,00:00:00:02,00:03:22:16,00:00:01:46,00:00:00:07,00:03:22:16,00:00:01:46,00:00:00:07,00:00:01:48,00:00:00:02,00:00:01:46,00:00:01:46,00:00:00:09,00:00:00:03,00:00:00:08,00:00:00:08,00:00:00:00,00:00:30:13,0,0,0,2732204032,1324527522,1148647424,101 %,39 %,24 %,1844460540,3941971856,0,0,0
ps090_0310_prep_remoedmarkersSL_v010.nk,66e196ec7e6b4b9c2f4c5be6,dnyaneshwar.shelke,,,pnewspt098,2024/09/11 18:41:08,2024/09/11 18:41:08,2024/09/11 20:09:56,2d_pool,2d_group,50,986-1099,114,12,Nuke,0,0,0,3,3,00:01:28:47,00:03:07:58,00:00:15:39,00:00:11:37,00:00:00:37,00:00:00:03,00:00:00:02,00:03:07:21,00:00:15:36,00:00:11:34,00:03:07:21,00:00:15:36,00:00:11:34,00:00:01:38,00:00:00:00,00:00:01:38,00:00:01:38,00:00:01:10,00:00:00:01,00:00:01:10,00:00:01:10,00:01:47:04,00:00:00:00,1324695876,110391323,115942966,3389693952,1433035408,1457202944,101 %,36 %,18 %,2039420349,3545583443,0,0,0
ps090_0310_prep_remoedmarkersSL_v011.nk,66e1dd107e6b4b9c2f4c600d,dnyaneshwar.shelke,,,pnewspt098,2024/09/11 23:40:24,2024/09/11 23:40:25,2024/09/11 23:49:28,2d_pool,2d_group,50,986-1099,114,114,Nuke,0,0,0,2,9,00:00:09:02,00:01:21:03,00:00:00:42,00:00:00:04,00:00:01:07,00:00:00:00,00:00:00:00,00:01:19:05,00:00:00:41,00:00:00:03,00:01:19:05,00:00:00:41,00:00:00:03,00:00:00:42,00:00:00:00,00:00:00:41,00:00:00:41,00:00:00:05,00:00:00:00,00:00:00:04,00:00:00:04,00:00:06:53,00:00:00:00,1183239219,10379291,10342113,1423921152,1310585141,1383181696,100 %,22 %,2 %,1005072699,1390524573,0,0,0
ps090_0520_prep_edging_touchup_v001.%04d_,66e1d8287e6b4b9c2f4c5f53,sanjay.nagose,None,,pnewspt086.basilic.com,2024/09/11 23:19:28,2024/09/11 23:20:42,2024/09/11 23:21:09,2d_pool,2d_group,50,986-1070,85,1,Nuke,1,3630,0,0,1,00:00:00:27,00:00:00:27,00:00:00:27,00:00:00:27,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:24,00:00:00:24,00:00:00:24,00:00:00:24,00:00:00:24,00:00:00:24,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,492789760,416627360,416627360,6 %,2 %,2 %,145957,7297805,0,0,0
ps090_0520_prep_edging_touchup_v001_,66e1d82c7e6b4b9c2f4c5f54,sanjay.nagose,None,,pnewspt086.basilic.com,2024/09/11 23:19:32,2024/09/11 23:21:54,2024/09/11 23:22:14,2d_pool,2d_group,50,986-1070,85,1,Nuke,1,8464,0,0,1,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:16,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,778584064,309662912,309662912,44 %,7 %,7 %,272943,3899175,0,0,0
ps090_0520_prep_edging_v002.nk,66e1d8157e6b4b9c2f4c5f46,sanjay.nagose,,,pnewspt086.basilic.com,2024/09/11 23:19:09,2024/09/11 23:19:13,2024/09/11 23:20:04,2d_pool,2d_group,50,986-1070,85,9,Nuke,1,1040260,0,0,7,00:00:00:51,00:00:05:24,00:00:00:36,00:00:00:37,00:00:00:27,00:00:00:03,00:00:00:02,00:00:04:57,00:00:00:33,00:00:00:34,00:00:04:57,00:00:00:33,00:00:00:34,00:00:00:03,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:04,00:00:00:01,00:00:00:04,00:00:00:04,00:00:00:00,00:00:00:00,0,0,0,1382191104,496993368,495197632,28 %,1 %,1 %,1225757,83386511,0,0,0
ps090_0520_prep_edging_v002.nk,66e1d8af7e6b4b9c2f4c5f7b,sanjay.nagose,,Prep,pnewspt086,2024/09/11 23:21:42,2024/09/11 23:21:47,2024/09/11 23:22:54,none,none,50,986-1070,85,9,Nuke,0,0,0,0,5,00:00:01:07,00:00:04:45,00:00:00:31,00:00:00:35,00:00:00:58,00:00:00:06,00:00:00:06,00:00:03:46,00:00:00:25,00:00:00:27,00:00:03:46,00:00:00:25,00:00:00:27,00:00:00:03,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:04,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,876206150,97356238,102664340,1972363264,709161297,537424896,21 %,1 %,2 %,950702,54085421,0,0,0
sl015_0010_prep_setlightremove_v001.nk,66e1630d7e6b4b9c2f4c5876,gaurav.dhoke,,,pnewspt106.basilic.com,2024/09/11 14:59:48,2024/09/11 14:59:49,2024/09/11 15:00:17,2d_pool,2d_group,50,1001-1085,85,9,Nuke,1,2728,0,0,8,00:00:00:27,00:00:03:35,00:00:00:23,00:00:00:24,00:00:00:25,00:00:00:02,00:00:00:02,00:00:03:10,00:00:00:21,00:00:00:21,00:00:03:10,00:00:00:21,00:00:00:21,00:00:00:02,00:00:00:00,00:00:00:02,00:00:00:02,00:00:00:03,00:00:00:01,00:00:00:03,00:00:00:03,00:00:00:00,00:00:00:00,0,0,0,821329920,473716384,477924640,18 %,1 %,1 %,536942,48174512,0,0,0
sl015_0010_prep_setlightremove_v001.nk,66e164537e6b4b9c2f4c588e,gaurav.dhoke,,,pnewspt106.basilic.com,2024/09/11 15:05:15,2024/09/11 15:05:16,2024/09/11 15:06:02,2d_pool,2d_group,50,1001-1085,85,9,Nuke,1,73208,0,0,9,00:00:00:46,00:00:06:31,00:00:00:43,00:00:00:44,00:00:00:28,00:00:00:03,00:00:00:03,00:00:06:03,00:00:00:40,00:00:00:41,00:00:06:03,00:00:00:40,00:00:00:41,00:00:00:04,00:00:00:00,00:00:00:04,00:00:00:04,00:00:00:05,00:00:00:01,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,0,0,0,5382520832,1287196487,1362011520,89 %,3 %,2 %,3719748,103538771,0,0,0
THP101_004_0700_prep_slsetjunkandseams_v001.nk,66e122737e6b4b9c2f4c55c5,deadline,,,pnewspt100.basilic.com,2024/09/11 10:24:11,2024/09/11 10:24:38,2024/09/11 10:37:31,2d_pool,2d_group,100,1001-1005,5,5,Nuke,1,78122,0,0,1,00:00:12:52,00:00:01:33,00:00:00:18,00:00:00:18,00:00:00:13,00:00:00:02,00:00:00:02,00:00:01:19,00:00:00:15,00:00:00:15,00:00:01:19,00:00:00:15,00:00:00:15,00:00:00:18,00:00:00:02,00:00:00:15,00:00:00:15,00:00:00:19,00:00:00:03,00:00:00:16,00:00:00:16,00:00:00:00,00:00:06:47,0,0,0,2426503168,562392441,578628416,96 %,5 %,4 %,1086302,19476549,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jobs: 86,Tasks: 3532,Frames: 8873,Total Clock Render Time: 00d 05h 11m 50s,Total Task Render Time: 01d 08h 28m 02s,Total Output File Size: 120.367 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
