Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes)
103-CDF-0300_prep_character_charremove_v001.%04d_,66e295cb7e6b4b9c2f4c6750,lalith.thatikonda,None,,pnewspt102.basilic.com,2024/09/12 12:48:35,2024/09/12 12:48:36,2024/09/12 12:49:33,2d_pool,2d_group,50,1001-1041,41,1,Nuke,1,3852,0,0,1,00:00:00:57,00:00:00:57,00:00:00:57,00:00:00:57,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:54,00:00:00:54,00:00:00:54,00:00:00:54,00:00:00:54,00:00:00:54,00:00:00:01,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:02,00:00:00:01,00:00:00:02,00:00:00:02,00:00:00:00,00:00:00:00,0,0,0,659525632,455629632,455629632,2 %,1 %,1 %,156956,15695539,0,0,0
106-FLD-1000_prep_prepmatte_prepmatte_v001.%04d_,66e27c717e6b4b9c2f4c65fe,jasveer.singh,None,,pnewspt086.basilic.com,2024/09/12 11:00:25,2024/09/12 11:02:40,2024/09/12 11:04:50,2d_pool,2d_group,50,1009-1142,134,1,Nuke,1,3778,0,0,1,00:00:02:10,00:00:02:10,00:00:02:10,00:00:02:10,00:00:00:02,00:00:00:02,00:00:00:02,00:00:02:07,00:00:02:07,00:00:02:07,00:00:02:07,00:00:02:07,00:00:02:07,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,663351296,612397824,612397824,4 %,2 %,2 %,776414,38820672,0,0,0
106-FLD-1000_prep_prepmatte_v005.nk,66e27c2c7e6b4b9c2f4c65e8,jasveer.singh,,,pnewspt086.basilic.com,2024/09/12 10:59:16,2024/09/12 10:59:17,2024/09/12 11:01:39,2d_pool,2d_group,50,1009-1142,134,45,Nuke,1,7721685,0,0,12,00:00:02:22,00:00:27:34,00:00:00:36,00:00:00:22,00:00:01:10,00:00:00:01,00:00:00:00,00:00:26:09,00:00:00:34,00:00:00:21,00:00:26:09,00:00:00:34,00:00:00:21,00:00:00:12,00:00:00:00,00:00:00:11,00:00:00:11,00:00:00:08,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:00,00:00:10:37,0,0,0,29109792768,14351572633,19242622976,98 %,3 %,3 %,15350460,430455933,0,0,0
301_06_whf_0495_prep_positionmatchmiddlechunk_matchchunk_v001.%04d_,66e2d55c7e6b4b9c2f4c6f19,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/12 17:19:47,2024/09/12 17:21:23,2024/09/12 17:21:49,2d_pool,2d_group,50,1017-1051,35,1,Nuke,1,4072,0,0,1,00:00:00:25,00:00:00:25,00:00:00:25,00:00:00:25,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:22,00:00:00:22,00:00:00:22,00:00:00:22,00:00:00:22,00:00:00:22,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,587280384,466076032,466076032,2 %,1 %,1 %,55634,5563325,0,0,0
301_06_whf_0495_prep_positionmatchmiddlechunk_matchchunk_v001_,66e2d5617e6b4b9c2f4c6f1b,mustak.ahamad,None,,pnewspt099.basilic.com,2024/09/12 17:19:53,2024/09/12 17:22:27,2024/09/12 17:22:44,2d_pool,2d_group,50,1017-1051,35,1,Nuke,1,9028,0,0,1,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:17,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:14,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1050116096,377635648,377635648,31 %,4 %,4 %,155499,3887453,0,0,0
301_06_whf_0495_prep_positionmatchmiddlechunk_v001.nk,66e2d5407e6b4b9c2f4c6f13,mustak.ahamad,,,pnewspt099.basilic.com,2024/09/12 17:19:20,2024/09/12 17:19:20,2024/09/12 17:20:26,2d_pool,2d_group,50,1017-1051,35,4,Nuke,1,39227,0,0,4,00:00:01:05,00:00:03:40,00:00:00:55,00:00:01:04,00:00:00:12,00:00:00:03,00:00:00:03,00:00:03:28,00:00:00:52,00:00:01:01,00:00:03:28,00:00:00:52,00:00:01:01,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:07,00:00:00:01,00:00:00:07,00:00:00:07,00:00:00:00,00:00:00:00,0,0,0,1004421120,361589608,347515552,21 %,1 %,1 %,755134,58134143,0,0,0
305_01_amc_0180_prep_SR_prep_v002.%04d_,66e2819e7e6b4b9c2f4c668e,akshay.basarge,None,,pnewspt087.basilic.com,2024/09/12 11:22:30,2024/09/12 11:25:00,2024/09/12 11:32:04,2d_pool,2d_group,50,1017-1243,227,1,Nuke,1,3716,0,0,1,00:00:07:03,00:00:07:03,00:00:07:03,00:00:07:03,00:00:00:07,00:00:00:07,00:00:00:07,00:00:06:56,00:00:06:56,00:00:06:56,00:00:06:56,00:00:06:56,00:00:06:56,00:00:00:01,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:02,00:00:00:01,00:00:00:02,00:00:00:02,00:00:00:00,00:00:00:00,0,0,0,568451072,546261120,546261120,24 %,2 %,2 %,2621368,131068392,0,0,0
305_01_amc_0180_prep_SR_prep_v002_,66e281af7e6b4b9c2f4c6690,akshay.basarge,None,,pnewspt087.basilic.com,2024/09/12 11:22:47,2024/09/12 11:32:25,2024/09/12 11:33:34,2d_pool,2d_group,50,1017-1243,227,1,Nuke,1,8537,0,0,1,00:00:01:08,00:00:01:08,00:00:01:08,00:00:01:08,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:05,00:00:01:05,00:00:01:05,00:00:01:05,00:00:01:05,00:00:01:05,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1223815168,967655872,967655872,72 %,28 %,28 %,5368189,19172102,0,0,0
305_01_amc_0180_prep_SR_prep_v003.%04d_,66e281de7e6b4b9c2f4c6698,akshay.basarge,None,,pnewspt087.basilic.com,2024/09/12 11:23:34,2024/09/12 11:26:04,2024/09/12 11:29:43,2d_pool,2d_group,50,1017-1243,227,1,Nuke,1,3688,0,0,1,00:00:03:38,00:00:03:38,00:00:03:38,00:00:03:38,00:00:00:02,00:00:00:02,00:00:00:02,00:00:03:35,00:00:03:35,00:00:03:35,00:00:03:35,00:00:03:35,00:00:03:35,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,564133888,536365408,536365408,9 %,2 %,2 %,1348681,67434048,0,0,0
305_01_amc_0180_prep_SR_prep_v003_,66e281ed7e6b4b9c2f4c66a2,akshay.basarge,None,,pnewspt087.basilic.com,2024/09/12 11:23:49,2024/09/12 11:30:18,2024/09/12 11:31:24,2d_pool,2d_group,50,1017-1243,227,1,Nuke,1,8537,0,0,1,00:00:01:06,00:00:01:06,00:00:01:06,00:00:01:06,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:03,00:00:01:03,00:00:01:03,00:00:01:03,00:00:01:03,00:00:01:03,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,1218183168,932476608,932476608,60 %,23 %,23 %,4399820,19129652,0,0,0
305_01_amc_0180_prep_SR_v017.nk,66e2815d7e6b4b9c2f4c667b,akshay.basarge,,,pnewspt087.basilic.com,2024/09/12 11:21:25,2024/09/12 11:21:25,2024/09/12 11:24:39,2d_pool,2d_group,50,1017-1243,227,23,Nuke,1,2009994,0,0,13,00:00:03:13,00:00:41:56,00:00:01:49,00:00:01:54,00:00:01:20,00:00:00:03,00:00:00:02,00:00:40:32,00:00:01:45,00:00:01:49,00:00:40:32,00:00:01:45,00:00:01:49,00:00:00:11,00:00:00:00,00:00:00:10,00:00:00:10,00:00:00:12,00:00:00:01,00:00:00:11,00:00:00:11,00:00:00:00,00:00:00:00,0,0,0,6948757504,3737552896,3571037696,84 %,4 %,4 %,34520505,731425091,0,0,0
305_01_amc_0180_prep_SR_v017.nk,66e281c97e6b4b9c2f4c6691,akshay.basarge,,,pnewspt087.basilic.com,2024/09/12 11:23:13,2024/09/12 11:23:22,2024/09/12 11:25:37,2d_pool,2d_group,50,1017-1243,227,23,Nuke,1,2009578,0,0,11,00:00:02:14,00:00:23:06,00:00:01:00,00:00:00:58,00:00:02:03,00:00:00:05,00:00:00:06,00:00:21:01,00:00:00:54,00:00:00:57,00:00:21:01,00:00:00:54,00:00:00:57,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:07,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,6690988032,3033892079,2550287360,99 %,8 %,6 %,28089791,361089583,0,0,0
306_43_sdh_0140_paint_v016.nk,66e1f4a57e6b4b9c2f4c6129,sudarshan.kale,,,pnewspt081,2024/09/12 1:21:01,2024/09/12 1:21:02,2024/09/12 1:27:19,2d_pool,2d_group,1,1001-1177,177,177,Nuke,1,16969716,0,6,17,00:00:06:17,00:01:43:50,00:00:00:35,00:00:00:20,00:00:01:22,00:00:00:00,00:00:00:00,00:01:41:04,00:00:00:34,00:00:00:18,00:01:41:04,00:00:00:34,00:00:00:18,00:00:00:35,00:00:00:00,00:00:00:34,00:00:00:34,00:00:00:21,00:00:00:00,00:00:00:19,00:00:00:19,00:00:05:52,00:00:00:00,8988005868,50779694,50796117,10575273984,890518209,468783520,94 %,1 %,1 %,27885086,1606535332,0,0,0
306_43_sdh_0140_paint_v017.nk,66e2e63c7e6b4b9c2f4c6fa0,sudarshan.kale,,,pnewspt081,2024/09/12 18:31:47,2024/09/12 18:31:48,2024/09/12 18:39:13,2d_pool,2d_group,1,1001-1177,177,177,Nuke,1,17085697,0,8,15,00:00:07:24,00:01:48:17,00:00:00:36,00:00:00:20,00:00:01:20,00:00:00:00,00:00:00:00,00:01:45:34,00:00:00:35,00:00:00:19,00:01:45:34,00:00:00:35,00:00:00:19,00:00:00:36,00:00:00:00,00:00:00:35,00:00:00:35,00:00:00:21,00:00:00:00,00:00:00:20,00:00:00:20,00:00:07:12,00:00:00:00,8988045345,50779917,50796117,10622373888,902195360,462619840,95 %,1 %,1 %,28727170,1706991352,0,0,0
306_43_sdh_0140_paint_v019.nk,66e3025b7e6b4b9c2f4c7105,sudarshan.kale,,,pnewspt081,2024/09/12 20:31:47,2024/09/12 20:31:48,2024/09/12 20:41:53,2d_pool,2d_group,1,1017-1161,145,145,Nuke,1,17289703,0,12,11,00:00:10:05,00:01:48:41,00:00:00:44,00:00:00:23,00:00:01:39,00:00:00:00,00:00:00:00,00:01:45:57,00:00:00:43,00:00:00:21,00:01:45:57,00:00:00:43,00:00:00:21,00:00:00:44,00:00:00:00,00:00:00:43,00:00:00:43,00:00:00:24,00:00:00:00,00:00:00:22,00:00:00:22,00:00:12:09,00:00:00:00,7313319381,50436685,50684328,12204105728,1219539570,802715968,88 %,1 %,1 %,30698071,1776590879,0,0,0
306_43_sdh_0140_precomp_v016.nk,66e1e2cc7e6b4b9c2f4c606c,narayan.patil,,,pnewspt089,2024/09/12 0:04:52,2024/09/12 0:04:53,2024/09/12 0:06:47,2d_pool,2d_group,100,1017-1161,145,145,Nuke,1,5843319,0,0,12,00:00:01:54,00:00:21:44,00:00:00:08,00:00:00:08,00:00:00:44,00:00:00:00,00:00:00:00,00:00:19:49,00:00:00:08,00:00:00:07,00:00:19:49,00:00:00:08,00:00:00:07,00:00:00:08,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:09,00:00:00:00,00:00:00:08,00:00:00:08,00:00:00:00,00:00:00:00,3582439121,24706476,24843485,5670764544,834252060,829358592,99 %,5 %,2 %,12774105,232791296,0,0,0
306_43_sdh_0140_precomp_v018.nk,66e1f8847e6b4b9c2f4c6157,narayan.patil,,,pnewspt089,2024/09/12 1:37:32,2024/09/12 1:37:33,2024/09/12 1:39:32,2d_pool,2d_group,100,1017-1161,145,145,Nuke,1,6501089,0,0,16,00:00:01:59,00:00:30:34,00:00:00:12,00:00:00:09,00:00:00:55,00:00:00:00,00:00:00:00,00:00:28:31,00:00:00:11,00:00:00:08,00:00:28:31,00:00:00:11,00:00:00:08,00:00:00:12,00:00:00:00,00:00:00:11,00:00:00:11,00:00:00:10,00:00:00:00,00:00:00:09,00:00:00:09,00:00:00:00,00:00:00:00,3579398106,24685504,24783912,7065681920,865983074,905442624,97 %,6 %,4 %,17565001,377965026,0,0,0
306_43_sdh_0140_precomp_v024.nk,66e3057b7e6b4b9c2f4c712f,narayan.patil,,,pnewspt089,2024/09/12 20:45:07,2024/09/12 20:45:08,2024/09/12 20:48:59,2d_pool,2d_group,100,1017-1161,145,145,Nuke,1,7056494,0,1,13,00:00:03:51,00:00:49:02,00:00:00:20,00:00:00:15,00:00:00:58,00:00:00:00,00:00:00:00,00:00:46:54,00:00:00:19,00:00:00:14,00:00:46:54,00:00:00:19,00:00:00:14,00:00:00:20,00:00:00:00,00:00:00:19,00:00:00:19,00:00:00:16,00:00:00:00,00:00:00:15,00:00:00:15,00:00:00:11,00:00:00:00,14706821114,101426352,101947174,7852535808,1393595255,1350332416,99 %,7 %,7 %,40693525,676920350,0,0,0
306_43_sdh_0140_precomp_v025.nk,66e307567e6b4b9c2f4c714c,narayan.patil,,,pnewspt089,2024/09/12 20:53:01,2024/09/12 20:53:02,2024/09/12 20:58:03,2d_pool,2d_group,100,1017-1161,145,145,Nuke,1,7062162,0,2,9,00:00:05:00,00:00:43:57,00:00:00:18,00:00:00:15,00:00:01:00,00:00:00:00,00:00:00:00,00:00:41:48,00:00:00:17,00:00:00:14,00:00:41:48,00:00:00:17,00:00:00:14,00:00:00:18,00:00:00:00,00:00:00:17,00:00:00:17,00:00:00:16,00:00:00:00,00:00:00:15,00:00:00:15,00:00:00:25,00:00:00:00,14911033658,102834714,103224069,8276615168,1479320983,1423973632,97 %,6 %,8 %,36766737,591324721,0,0,0
306_43_sdh_0140_prep_lightremoval_removedsllight_v002.%04d_,66e1e9387e6b4b9c2f4c60b9,sandeep.tapkir,None,,pnewstr065.basilic.com,2024/09/12 0:32:15,2024/09/12 0:32:16,2024/09/12 0:33:47,2d_pool,2d_group,50,1017-1161,145,1,Nuke,1,3996,0,0,1,00:00:01:31,00:00:01:31,00:00:01:31,00:00:01:31,00:00:00:03,00:00:00:03,00:00:00:03,00:00:01:28,00:00:01:28,00:00:01:28,00:00:01:28,00:00:01:28,00:00:01:28,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,568709120,440621920,440621920,8 %,2 %,2 %,547703,27385144,0,0,0
