Job Name,Job ID,User Name,Comment,Department,Submit Machine,Submit Date Time,Start Date Time,Finish Date Time,Pool,Group,Priority,Frame List,Frame Count,Task Count,Plugin,Extra Info 0,Extra Info 1,Extra Info 2,Extra Info 3,Extra Info 4,Extra Info 5,Extra Info 6,Extra Info 7,Extra Info 8,Extra Info 9,Auxiliary Files,Auxiliary File Size (Bytes),Machine Limit,Error Count,Average Concurrent Tasks,Clock Render Time,Total Task Time,Average Task Time,Median Task Time,Total Task Startup Time,Average Task Startup Time,Median Task Startup Time,Total Task Render Time,Average Task Render Time,Median Task Render Time,Total Normalized Task Render Time,Average Normalized Task Render Time,Median Normalized Task Render Time,Average Frame Time,Average Frame Startup Time,Average Frame Render Time,Average Normalized Frame Render Time,Median Frame Time,Median Frame Startup Time,Median Frame Render Time,Median Normalized Frame Render Time,Wasted Error Time,Wasted Requeue Time,Total Output File Size (Bytes),Average Output File Size (Bytes),Median Output File Size (Bytes),Peak RAM Usage (Bytes),Average RAM Usage (Bytes),Median RAM Usage (Bytes),Peak CPU Usage,Average CPU Usage,Median CPU Usage,Used CPU Clocks,Total CPU Clocks,Peak Swap Usage (Bytes),Average Swap Usage (Bytes),Median Swap Usage (Bytes)
306_43_sdh_0140_precomp_v029.nk,66e34ff77e6b4b9c2f4c747c,narayan.patil,,,pnewspt089,2024/09/13 2:02:55,2024/09/13 2:02:56,2024/09/13 2:05:26,2d_pool,2d_group,100,1017-1161,145,145,Nuke,,,,,,,,,,,1,8135462,0,0,15,00:00:02:30,00:00:37:16,00:00:00:15,00:00:00:10,00:00:00:55,00:00:00:00,00:00:00:00,00:00:35:14,00:00:00:14,00:00:00:09,00:00:35:14,00:00:00:14,00:00:00:09,00:00:00:15,00:00:00:00,00:00:00:14,00:00:00:14,00:00:00:11,00:00:00:00,00:00:00:10,00:00:00:10,00:00:00:00,00:00:00:00,3578121000,24676696,24764892,6485426176,871854123,907574272,98 %,4 %,2 %,14402609,490013187,0,0,0
306_43_sdh_0140_precomp_v029.nk,66e3608e7e6b4b9c2f4c7525,narayan.patil,,,pnewspt089,2024/09/13 3:13:41,2024/09/13 3:13:42,2024/09/13 3:16:08,2d_pool,2d_group,100,1017-1161,145,145,Nuke,,,,,,,,,,,1,8204265,0,0,15,00:00:02:26,00:00:35:45,00:00:00:14,00:00:00:10,00:00:00:55,00:00:00:00,00:00:00:00,00:00:33:40,00:00:00:13,00:00:00:09,00:00:33:40,00:00:00:13,00:00:00:09,00:00:00:14,00:00:00:00,00:00:00:13,00:00:00:13,00:00:00:11,00:00:00:00,00:00:00:10,00:00:00:10,00:00:00:00,00:00:00:00,3578054888,24676240,24764085,6567424000,900435604,925044224,98 %,4 %,2 %,14378773,466995626,0,0,0
com_0020_prep_groundcleanup_denoise_v001.%04d_,66e3d9ee7e6b4b9c2f4c7b22,akshay.deshmukh,None,,pnewsrt103.basilic.com,2024/09/13 11:51:34,2024/09/13 11:52:47,2024/09/13 11:53:56,2d_pool,2d_group,50,1001-1102,102,1,Nuke,,,,,,,,,,,1,3724,0,0,1,00:00:01:09,00:00:01:09,00:00:01:09,00:00:01:09,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:06,00:00:01:06,00:00:01:06,00:00:01:06,00:00:01:06,00:00:01:06,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,531296256,332341664,332341664,6 %,1 %,1 %,206494,20649340,0,0,0
com_0020_prep_groundcleanup_denoise_v001_,66e3d9f27e6b4b9c2f4c7b23,akshay.deshmukh,None,,pnewsrt103.basilic.com,2024/09/13 11:51:38,2024/09/13 11:54:56,2024/09/13 11:55:19,2d_pool,2d_group,50,1001-1102,102,1,Nuke,,,,,,,,,,,1,8594,0,0,1,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:23,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:20,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,954494976,680102080,680102080,66 %,24 %,24 %,1374811,5728378,0,0,0
com_0020_prep_groundcleanup_precomp_v001.%04d_,66e3d8557e6b4b9c2f4c7b06,akshay.deshmukh,None,,pnewsrt103.basilic.com,2024/09/13 11:44:44,2024/09/13 11:45:19,2024/09/13 11:46:15,2d_pool,2d_group,50,1001-1102,102,1,Nuke,,,,,,,,,,,1,3724,0,0,1,00:00:00:55,00:00:00:55,00:00:00:55,00:00:00:55,00:00:00:02,00:00:00:02,00:00:00:02,00:00:00:52,00:00:00:52,00:00:00:52,00:00:00:52,00:00:00:52,00:00:00:52,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,535785472,390470464,390470464,12 %,2 %,2 %,310021,15501024,0,0,0
com_0020_prep_groundcleanup_precomp_v001_,66e3d85c7e6b4b9c2f4c7b07,akshay.deshmukh,None,,pnewsrt103.basilic.com,2024/09/13 11:44:52,2024/09/13 11:46:24,2024/09/13 11:46:53,2d_pool,2d_group,50,1001-1102,102,1,Nuke,,,,,,,,,,,1,8593,0,0,1,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:29,00:00:00:03,00:00:00:03,00:00:00:03,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:26,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,961433600,466977120,466977120,59 %,11 %,11 %,808823,7352929,0,0,0
com_0020_prep_groundcleanup_v002.nk,66e3d8297e6b4b9c2f4c7afa,akshay.deshmukh,,,pnewsrt103.basilic.com,2024/09/13 11:44:01,2024/09/13 11:44:02,2024/09/13 11:45:07,2d_pool,2d_group,50,1001-1102,102,11,Nuke,,,,,,,,,,,1,478811,0,0,10,00:00:01:05,00:00:10:36,00:00:00:57,00:00:01:02,00:00:00:31,00:00:00:02,00:00:00:02,00:00:10:04,00:00:00:54,00:00:00:59,00:00:10:04,00:00:00:54,00:00:00:59,00:00:00:06,00:00:00:00,00:00:00:05,00:00:00:05,00:00:00:07,00:00:00:01,00:00:00:06,00:00:00:06,00:00:00:00,00:00:00:00,0,0,0,1896497152,452153908,421746464,34 %,1 %,1 %,2062878,171927198,0,0,0
com_0020_prep_groundcleanup_v002.nk,66e3d9d47e6b4b9c2f4c7b16,akshay.deshmukh,,,pnewsrt103.basilic.com,2024/09/13 11:51:08,2024/09/13 11:51:09,2024/09/13 11:52:02,2d_pool,2d_group,50,1001-1102,102,11,Nuke,,,,,,,,,,,1,549684,0,0,9,00:00:00:53,00:00:07:08,00:00:00:38,00:00:00:32,00:00:00:32,00:00:00:02,00:00:00:02,00:00:06:36,00:00:00:36,00:00:00:29,00:00:06:36,00:00:00:36,00:00:00:29,00:00:00:04,00:00:00:00,00:00:00:03,00:00:00:03,00:00:00:05,00:00:00:01,00:00:00:05,00:00:00:05,00:00:00:00,00:00:00:00,0,0,0,3349090304,712890045,683140992,49 %,1 %,1 %,1939101,107711472,0,0,0
com_0030_paint_v009.nk,66e332b67e6b4b9c2f4c7308,yogesh.kate,,,pnewspt091,2024/09/12 23:58:06,2024/09/12 23:58:06,2001/01/01 0:00:00,2d_pool,2d_group,100,1001-1095,95,10,Nuke,,,,,,,,,,,0,0,0,102,0,00:00:00:00,00:00:00:48,00:00:00:04,00:00:00:00,00:00:00:03,00:00:00:00,00:00:00:00,00:00:00:44,00:00:00:04,00:00:00:00,00:00:00:44,00:00:00:04,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:32:15,00:00:14:45,52961773,5296177,0,6188142592,1773189196,1433738752,76 %,2 %,1 %,2559639,235492012,0,0,0
com_0070_prep_bluewallwrinkleremoval_denoise_v001.%04d_,66e3cd917e6b4b9c2f4c7a9f,mahesh.mhetrajkar,None,,pnewspt097.basilic.com,2024/09/13 10:58:48,2024/09/13 10:59:29,2024/09/13 11:00:51,2d_pool,2d_group,50,1001-1176,176,1,Nuke,,,,,,,,,,,1,3894,0,0,1,00:00:01:21,00:00:01:21,00:00:01:21,00:00:01:21,00:00:00:02,00:00:00:02,00:00:00:02,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:01:18,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:00,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:01,00:00:00:00,00:00:00:00,0,0,0,534224896,416996640,416996640,6 %,2 %,2 %,476417,23820824,0,0,0
